62,1577
96,1446
137,1330
185,1232
239,1123
319,1006
383,915
468,819
553,732
640,660
751,607
856,557
960,526
1071,503
1164,493
1260,499
1364,506
1476,536
1583,571
1690,631
1779,703
1885,793
1982,889
2075,995
2140,1119
2199,1240
2276,1345
2320,1502
