3422,109
3418,47
3432,171
3376,248
3363,186
3363,311
3334,390
3323,314
3329,468
3255,483
3252,414
3253,555
3165,612
3152,544
3155,681
3056,719
3050,648
3042,791
2977,835
2976,767
2970,903
2847,934
2838,872
2839,1002
2767,1001
2762,931
2776,1071
2615,1030
2624,960
2624,1097
2528,1157
2514,1076
2517,1242
2364,1209
2357,1135
2350,1283
2232,1297
2226,1221
2226,1377
2066,1432
2058,1260
2051,1605
1645,1650
1640,1558
1625,1745
1399,1495
1399,1495
1206,1280
1194,1199
1185,1363
988,1175
1004,1098
971,1253
807,1109
788,1002
785,1217
614,867
608,781
594,953
329,723
308,638
344,812
313,489
299,404
299,577
139,280
128,205
130,356
