2330,54
2334,142
2296,181
2294,275
2251,300
2257,389
2220,398
2204,486
2154,504
2154,598
2067,624
2063,713
2006,714
2024,807
1924,812
1917,899
1841,896
1844,988
1755,966
1768,1060
1642,1017
1634,1117
1538,1067
1533,1167
1438,1095
1428,1201
1316,1124
1316,1220
1224,1132
1240,1232
1129,1126
1135,1226
1030,1119
1026,1217
916,1089
922,1189
807,1051
817,1157
702,988
699,1099
611,918
618,1025
503,826
514,939
403,730
412,843
315,623
315,737
268,496
241,612
186,379
182,491
122,279
114,381
66,116
65,229
